student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,hobbies,devices,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,addr_city,addr_district,addr_postal
1,Claudia Short,20,Unknown,,9.98794E+11,Katieland,,9/3/2022 23:22,Data Science,,active,3.72,good,135,8/18/2021 18:53,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","{'hobbies': ['gun', 'nice'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 1}, 'soft': ['with', 'onto']}, 'family': {'siblings': 4, 'income': {'father': 1198, 'mother': 1089}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}","['gun', 'nice']","[{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]",2,5,1,"['with', 'onto']",4,1198,1089,Tashkent,South Kevin,100539
2,,20,Female,90,,Dawnburgh,psmith@chen.com,8/29/2017 0:00,Data Science,,active,1.88,excellent,152,11/10/2001 4:19,UZ 100332 Tashkent South Patricia,"{hobbies:['against', 'good']}",,,,,,,,,,Tashkent,,100332
3,Kathryn Moyer,20,Unknown,90,,Lake Stevenmouth,,8/14/2017 0:00,Data Science,,pending,,excellent,185,7/14/2022 22:27,"Wendyshire 12-kv, dom 1, Tashkent","{'hobbies': ['fast', 'clearly'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 1}, 'soft': ['despite', 'clearly']}, 'family': {'siblings': 1, 'income': {'father': 263, 'mother': 202}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}","['fast', 'clearly']","[{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]",5,3,1,"['despite', 'clearly']",1,263,202,Tashkent,,
4,Ruben Wilson,20,Female,81,,Port Pamelafort,,9/17/1973 0:00,Data Science,,inactive,0,good,175,4/29/2023 19:05,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","{'hobbies': ['left', 'role'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['full', 'series']}, 'family': {'siblings': 4, 'income': {'father': 508, 'mother': 698}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}","['left', 'role']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]",3,5,1,"['full', 'series']",4,508,698,Tashkent,North Tamara,100097
5,Robert Pruitt,20,Female,,9.98563E+11,Kingburgh,,11/25/2023 0:00,Data Science,,pending,4.37,average,282,10/13/2013 0:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['sort', 'science'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 1}, 'soft': ['whose', 'save']}, 'family': {'siblings': 3, 'income': {'father': 862, 'mother': 1058}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}","['sort', 'science']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]",1,4,1,"['whose', 'save']",3,862,1058,,,
6,David Martinez,20,Male,90,9.98286E+11,Hugheshaven,nathangibbs@hotmail.com,10/23/2020 22:54,Data Science,110,pending,15.5,average,85,4/30/1983 1:46,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","{hobbies:['order', 'keep']}",,,,,,,,,,Tashkent,North Jamesfurt,100551
7,,18,Female,71,9.98809E+11,Sharpfurt,,1/16/1982 0:00,Data Science,,active,0,excellent,275,11/19/2004 23:42,"Lake Tracishire 29-kv, dom 8, Tashkent","{'hobbies': ['fall', 'teacher'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 4}, 'soft': ['teacher', 'good']}, 'family': {'siblings': 3, 'income': {'father': 1270, 'mother': 931}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}","['fall', 'teacher']","[{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]",4,1,4,"['teacher', 'good']",3,1270,931,Tashkent,,
8,Nicholas Dennis,21,Female,90,9.98092E+11,Matthewfort,,6/26/2000 0:00,Python,63,active,4.5,excellent,135,9/23/1978 0:00,"70576 Butler Harbor Suite 847, Janetberg",INVALID_JSON_DATA,,,,,,,,,,Other,,
9,,20,Female,77,9.9855E+11,South Paulchester,stacysmith@taylor.biz,3/15/2000 0:00,Data Science,110,active,15.5,excellent,104,10/20/1995 0:00,"Williamsborough 2-kv, dom 18, Tashkent","{'hobbies': ['require', 'open'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['partner', 'walk']}, 'family': {'siblings': 0, 'income': {'father': 850, 'mother': 1062}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}","['require', 'open']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]",1,5,4,"['partner', 'walk']",0,850,1062,Tashkent,,
10,Elizabeth Villegas,22,Female,,9.98745E+11,South Dianatown,,2/11/2013 7:12,Data Science,99,inactive,3.7,average,215,12/16/2014 6:44,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['management', 'to'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 4}, 'soft': ['beat', 'southern']}, 'family': {'siblings': 3, 'income': {'father': 597, 'mother': 1150}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}","['management', 'to']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]",1,1,4,"['beat', 'southern']",3,597,1150,,,
